eticheta,mesaj
legitim,Am vrut să-l rog pe Ì_ să mă aștepte 4 să termin lect. Pentru că lectul meu se termină oricum într-o oră.
legitim,Ai terminat încă treaba? :)
legitim,Fiecare rege a fost cândva un copil care plângea și fiecare clădire grozavă a fost cândva o hartă. Gud ni8
legitim,"Dragă, eu la cherthala. În cazul în care vii Cochin, vă rugăm să sunați înainte de a începe. Voi contacta și eu în consecință. sau spuneți-mi în ce zi vii. Mâine sunt logodit și sărbătoare."
legitim,Multumesc iubire. Dar fac torță sau îndrăzneț.
phishing,<Redirecționat de la 448712404000>Vă rugăm să SUNAȚI imediat 08712404000 deoarece vă așteaptă un mesaj urgent.
legitim,Era deschisă ferma?
legitim,"Îmi pare rău că te deranjez din nou. Pot să cumpăr din nou 4d pentru tatăl meu? 1405, 1680, 1843. Toate 2 mari 1 mici, sat n soare. Mulțumesc."
legitim,"Cumnata mea, sper că aveți o lună grozavă. Spun doar hei. Abiola"
legitim,Voi cumpăra ceva astăzi și vă voi trimite prin e-mail. Ai un număr de cutie poștală?
legitim,"Ah caca. Se pare că problema bolnavă trebuie să trimită laptopul meu pentru a fi reparat, deoarece are o problemă cu GPU"
legitim,Bun. Loc de muncă bun. Îmi plac antreprenorii
legitim,"Bine, ești aproape sau încă în preajma casei lui Alex?"
legitim,ne întâlnim în corporația st outside gap Û_ puteți vedea cum funcționează mintea mea!
legitim,Mama îi cere lui Ì_ să cumpere mâncare acasă...
legitim,"De asemenea, K..u nu trimite mesaje sau nu răspunde la mesajul său.."
legitim,Cât r Ì_ sunteți dispus să plătiți?
legitim,"Scuze, o să sun mai târziu"
legitim,Important este să preveniți deshidratarea dându-i suficiente lichide
legitim,"E un pic ciudat, chiar?- Unde ar trebui să se întâmple treaba? Dar idee bună, sigur că vor fi în cârciumă!"
legitim,Adevărat dragă... m-am așezat să mă rog seara și m-am simțit așa. așa că ți-am trimis un sms peste ceva timp...
legitim,"Nu cred că pot scăpa pentru o călătorie atât de lungă cu familia în oraș, îmi pare rău"
legitim,"Deci, când vrei să faci sală Harri?"
legitim,Destul de târziu lar... Ard 12 oricum am wun b drivin...
phishing,"Pentru a revizui și a PĂSTRA fantasticul pachet de jocuri Nokia N-Gage cu Club Nokia, accesați 2 www.cnupdates.com/newsletter. dezabonați-vă de la alerte răspundeți cu cuvântul OUT"
phishing,Închiriere la jumătate de preț pentru 4 luni Orange Line și cele mai recente telefoane cu cameră 4 GRATUIT. Avea telefonul tău peste 11 luni? Sunați gratuit la MobilesDirect la 08000938767 pentru a actualiza acum! sau 2stoptxt T&C
legitim,"Înălțimea încrederii: toți profesorii de Aeronautică au fost numiți &amp; ei au fost rugați să stea într-un avion. După ce s-au așezat, li s-a spus că avionul a fost făcut de studenții lor. Toți au ieșit grăbiți din avion.. Bt numai eu nu m-am mișcat... El a spus:\dacă este făcut de studenții mei"
legitim,Pare a fi un moment ciudat în care noaptea pe care tot ce vrei tu și eu este să vin să fumez este aceeași zi în care se atribuie o furtună de rahat că vin mereu și îi fac pe toți să fumeze
phishing,08714712388 intre orele 10-19 Cost 10p
legitim,"Salvează-te de stres. Dacă persoana are un cont de cămin, trebuie doar să trimiteți detaliile contului dvs. și banii vă vor fi trimiși."
legitim,Știe și despre meniul de prânz numai da. . Știu
legitim,"Când voi avea lucruri de vândut, îți spun"
phishing,+449071512431 URGENT! Aceasta este a doua încercare de a contacta U!U a câștigat å1250 GBP Apelați la 09071512433 b4 050703 T&CsBCM4235WC1N3XX. costul apelurilor 150ppm pe mobil variază. maxå £7. 50
legitim,Rezervați ce lecție? apoi îmi dai un mesaj... O să sun după muncă sau ceva... Voi primi specificații. Calitatea mea de membru este PX3748
phishing,"Ați CÂȘTIGAT un premiu garantat de 1000 GBP în numerar sau un premiu de 2000 GBP. Pentru a revendica premiul pentru anul, sunați la reprezentantul serviciului nostru pentru clienți la 08714712394 între orele 10:00 și 19:00"
legitim,Macha nu se simte supărat. Pot să-ți asum mentalitatea. Crede-mă într-o seară cu mine și am niște planuri minunate pentru amândoi.SĂ ÎNCEPE VIAȚA DIN NOU.Sună-mă oricând
legitim,"O, este? Trimite-mi adresa"
legitim,E bine. Oricând. Toate cele bune cu el.
legitim,Asta este o minune deplină.
legitim,"Da, chiar și prăjiturile alea au jeleu pe ele"
legitim,"Lumea funcționează și eu sunt încă. Poate că toți se simt la fel, așa să fie. Sau trebuie să recunosc, sunt supărat. Atunci unde este corecția? Sau lasă-mă să numesc asta este viața. Și continuă să alergi cu lumea, poate că și tu alergi. Să alergăm."
legitim,Am înţeles! Arată delicios... tati vrea să te mănânce toată noaptea!
legitim,"De fapt, nu sunt așa de bine... 1 pm lor... Nu mă întrebi niciodată unde mergem ah... Am spus că vei întreba vineri, dar el a spus că vei întreba astăzi..."
legitim,"În regulă, trebuie să-mi schimb comanda la jumătate"
legitim,Exact. Oricum cât de departe. Este jide-o să studieze sau doar să viziteze
legitim,Nu stiu ma intrebi.
phishing,"Alertă prin e-mail De la: Jeri StewartDimensiune: 2KB Subiect: Drvg-uri cu prescripție la preț redusPentru a asculta e-mailul, sunați la 123"
legitim,"Nu, nu a făcut-o. Primăvara vine devreme da!"
legitim,"Lol, nu te vei simți rău când voi folosi banii ei ca să te duc la o cină cu friptură =D"
legitim,"Chiar și tu nu ai probleme în timp ce convingi... spune-i doar o dată sau de două ori și spune-i să-i neglijezi mesajele, nu c și citește-l... doar nu răspunde"
legitim,Plec în qatar tonite în căutarea unei oportunități. Totul a mers repede. Vă rugăm să adăugați-mă în rugăciunile dumneavoastră dragă. Rakhesh
legitim,Atunci de ce nimeni nu vorbește cu mine
legitim,Mulțumesc că ai grijă de mine. apreciez foarte mult.
phishing,Hi. Oferta de fidelizare a clienților: NOUL Nokia6650 Mobile de la DOAR £10 la TXTAUCTION! Text text: START la nr: 81151 și obține-l pe al tău acum! 4T&Ctxt TC 150p/MTmsg
legitim,Mi-ar plăcea să fiu cu tine acum!
legitim,"Haha, poate ești rit... Mă cunoști bine. Da sentimentul de a fi placut de cineva este gd lor. Găsiți mai repede una decât toate fetele din grupul nostru atașat Liao."
legitim,"Da, voi fi acolo. Mă bucur că ai reușit."
legitim,Fă bine :)toate vor pentru puțin timp. Lucruri bune care urmează:
legitim,Tocmai m-am trezit. trebuie să iasă din cameră foarte curând. Û_. Nu pusesem ceasurile înapoi până la 8 am strigat la toată lumea să se ridice și apoi mi-am dat seama că era 7. wahay. încă o oră în pat.
legitim,Bine. Este posibil să existe o sală de sport gratuită.
legitim,Bărbaților le plac doamnele mai scunde. Privește în ochii lui.
legitim,"Nu știu, el a spus doar du-te la lido. Același timp 930."
legitim,"Promit că voi avea grijă de tine, prințesă. Trebuie să fug acum. Vă rugăm să trimiteți poze când aveți ocazia. TTYL!"
phishing,Sunteți abonat la cel mai bun serviciu de conținut mobil din Marea Britanie pentru 3 GBP pe 10 zile până când trimiteți STOP la 82324. Linia de asistență 08706091795
legitim,Există vreun motiv pentru care nu am vorbit anul acesta? Oricum să aveți o săptămână minunată și toate cele bune la examen
legitim,Până luni săptămâna viitoare. Dă-mi esenta completă
phishing,Îți dai seama că în aproximativ 40 de ani vom avea mii de bătrâne care alergau cu tatuaje?
phishing,Aveți un anunț important de serviciu pentru clienți de la PREMIER.
legitim,Nu-mi da acel caveboy de buze
legitim,Când ai ajuns la bibliotecă
legitim,"Îmi pare rău, nu recunosc acest număr și acum sunt confuz :) cine ești, te rog?!"
legitim,Deci de ce nu ai hola?
legitim,Nu mă pot gândi la nimeni cu * cameră liberă * pe capul meu
legitim,"Credința face lucrurile posibile, Speranța face ca lucrurile să funcționeze, Dragostea face lucrurile frumoase, Fie ca tu să le ai pe toate trei Crăciunul acesta! Crăciun fericit!"
legitim,Ar fi trebuit să faci o programare
legitim,"Sună-mă când tu/Carlos este/ești aici, vibrația telefonului meu funcționează și s-ar putea să nu aud mesaje"
phishing,"Parisul romantic. 2 nopți, 2 zboruri de la å£79 Rezervați acum 4 anul viitor. Sunați la 08704439680Se aplică condițiile."
legitim,"Suntem la bunici. O, dragă, mai ești bolnav? M-am simțit rahat azi dimineață, dar cred că doar am mahmureala! Încă o noapte atunci. Lăsăm sâmbătă."
phishing,"Premiul Urgent Ur å£500 garantat este încă nerevendicat! Sunați la 09066368327 ACUM data de închidere04/09/02 cod de revendicare M39M51 å1,50 GBP mai mult de lamobile2Bremoved-MobyPOBox734LS27YF"
legitim,"Nimic decat noi doar tot u ne-ar intreba cos u ba gua... Dar ne-am dus mt faber da... Da, a iesit deja mah asa ca azi nu ies... Doar sunam lor..."
legitim,"Vă doresc ție și familiei tale, în avans, la mulți ani fericiti și la mulți ani..."
phishing,"UR a acordat un City Break și ar putea CÂȘTIGĂ un å£200 de cumpărături de vară în fiecare săptămână. Trimiteți mesajul STORE la 88039. SkilGme. TsCs087147403231Winawk!Vârsta 16 å1,50 GBP pe WKsub"
legitim,"Nu merg, am luat ceva, decât dacă se întâlnesc la 4 cină, atunci... Haha, mă întreb cine va merge la ora asta..."
legitim,"Scuze, o să sun mai târziu"
legitim,Nu pot alege telefonul acum. Vă rugăm să trimiteți un mesaj
legitim,Lol stiu! Sunt atât de dramatice. Școlile sunt deja închise pentru mâine. Se pare că nu putem conduce în centimetrul de zăpadă pe care trebuia să ajungem.
legitim,Nu ajung nicăieri cu această blestemată de slujbă de vânătoare aici!
legitim,"Laugh out loud! bețiv! Doar îmi fac părul în momentul d. Da, încă 4 în seara asta. Care este planul?"
legitim,"Treci aici, nu îți ieși din rahatul asta de două ori la rând"
legitim,Voi fi acolo cu în &lt;#&gt;  minute. Am orice spațiu
legitim,Doar dormi..si surfing
legitim,Mulțumesc că ai ridicat gunoiul.
legitim,"De ce nu te duci să-i spui prietenului tău că nu ești sigur că vrei să locuiești cu el pentru că fumează prea mult, apoi petreci ore întregi rugându-l să vină să fumeze"
legitim,"\Bună, Kate, a fost încântat să te văd în seara asta și te voi suna mâine. Trebuie să cânt și un tip mi-a dat cartea lui! xxx\"""""
legitim,La mulți ani dragul meu frate. Chiar mi-e dor de tine. Tocmai am primit numărul tău și m-am hotărât să-ți trimit acest text în care-ți urează numai fericire. Abiola
legitim,Asta înseamnă să ia ușa
legitim,Parerea ta despre mine? 1. Peste 2. Jada 3. Kusruthi 4. Iubitor 5. Tăcut 6. Caracter Spl 7. Nematurat 8. Elegant 9. Simplu Răspundeți..
legitim,"Hmmm... Credeam că am spus 2 ore sclav, nu 3... Ai întârziat... Cum să te pedepsesc?"
legitim,Bere?
phishing,Aveți un anunț important de serviciu pentru clienți de la PREMIER. Sună GRATUIT TELEFON 0800 542 0578 acum!
legitim,Nu crede. Se stinge ca aleatoriu în 5 minute de la deschidere
legitim,"Trebuia să fie, dar nu a putut, totuși e încă în oraș"
legitim,O face pe cont propriu. De cele mai multe ori îmi fixează ortografia. Dar uneori devine un cuvânt complet diferit. Închipuie-te
phishing,Te-ai gândit vreodată să trăiești o viață bună cu un partener perfect? Doar trimiteți înapoi NAME și AGE pentru a vă alătura comunității mobile. (100p/SMS)
phishing,"5 Tonuri Polifonice Top Gratuite sunați la 087018728737, Tarif Național. Primiți o melodie Toppoly trimisă în fiecare săptămână, trimiteți un mesaj cu SUBPOLY la 81618, 3£ pe stâlp. UnSub 08718727870."
legitim,Gud mrng draga sa ai o zi buna
legitim,"Sper că ți-a plăcut jocul tău de ieri. Îmi pare rău că nu am fost în legătură, dar vă rugăm să știți că sunteți cu drag. Să aveți o săptămână minunată. Abiola"
legitim,Toate cele mai bune 4 ur conducere tmr :-)
legitim,UNDE ESTI LA DOGBREATH? SUNA DOAR CA JAN C ASTA ESTE AL!!!!!!!!!
legitim,Omg vreau să țip. M-am cantarit si am slabit mai mult! Woohoo!
legitim,"În general, nu există unul. Este un substantiv nenumărat - u în dicționar. piese de cercetare?"
legitim,chiar mă doboară doar să stau în jur.
phishing,"Client Orange, acum puteți solicita upgrade-ul GRATUIT CAMERA TELEFON pentru loialitate. Sună acum la 0207 153 9996. Oferta se încheie pe 14 martie. Se aplică T&C. Opt-out disponibil"
legitim,"\Petey boy, unde tu, eu și toți prietenii tăi sunteți în Kingshead, coboară dacă poți să-l iubești pe Nic\"""""
legitim,"Ok, iti trimit mesajul b4 ies din casa mea."
legitim,"\Dă-mi câteva\"" a fost în urmă cu &lt;#&gt; minute"""
phishing,"Ultima șansă! Revendicați astăzi vouchere de reducere în valoare de 150 GBP! Trimiteți mesajul SHOP la 85023 acum! SavaMob, oferă mobil! T Cs SavaMob POBOX84, M263UZ. å3,00 GBP sub. 16"
legitim,"Aplicația este la &lt;TIME&gt; a.m. Nu e vina mea, nu asculți. ți-am spus de două ori"
phishing,"GRATUIT pentru prima săptămână! Numărul 1 Nokia tone 4 în fiecare săptămână, trimiteți un mesaj la NOKIA la 8077. Primiți mesaje și spuneți-le prietenilor. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/ton"
phishing,"Ați câștigat un premiu garantat de 200 GBP sau chiar 1000 GBP în numerar pentru a revendica premiul UR, sunați gratuit la 08000407165 (18+) 2 stop getstop pe 88222 PHP. RG21 4JX"
legitim,K Voi fi acolo înainte de 4.
legitim,Am dled 3d e foarte imp
legitim,"sigur, dar asigură-te că știe că nu fumăm încă"
legitim,Boooo lucrezi mereu. Doar renunta.
legitim,Îmi iau concediu de jumătate de zi pentru că nu sunt bine
legitim,"Uf, nu vreau să mă dau jos din pat. E atât de cald."
legitim,S:)s.nervos &lt;#&gt; :)
legitim,Deci există un inel care vine cu costumele băieților. Este acolo pentru ca ei să-și poată darui viitoarele soții. Sugestie indiciu
phishing,"Felicitări, ați primit fie 500 GBP de tichete cadou CD și intrare gratuită 2 extragerea noastră săptămânală de 100 GBP txt MUSIC la 87066 TnCs www.Ldew.com1win150ppmx3age16"
legitim,Îți împrumut geanta ok.
phishing,"Ai fost supralicitat de Simonwatson5120 pe Shinco DVD Plyr. 2 licitați din nou, vizitați sms. ac/smsrewards 2 notificări de încheiere a ofertei, răspuns END OUT"
legitim,Unde este băiatul meu? Mi-e dor de tine... Ce sa întâmplat?
legitim,"Are o mulțime de folosite iubito, dar modelul nu ajută. Trebuie să-l aduci și el o va potrivi"
legitim,"De asemenea, aduci pe Galileo sau Dobby"
legitim,Atunci de ce nu răspunzi
legitim,"\BOO BABE! ȚI PLACȚI MUNCĂ? PĂREAU ȘI ȚINE CU BINE HUNNY!SPER ESTI BINE?AȚI GRIJĂ și VORBIȚI 2U CURÂND MULTE DE LOVEME XXXX.\"""""
legitim,Bună seara strălucire de stele! Cum e băiatul meu? Mai dorește de mine? Te doare să mă tragi? *sorb cappuccino* Mi-e dor de tine iubito *sărut tachinător*
legitim,"Pe drum, așa că nu pot txt"
phishing,"SERVICII SMS. pentru creditele text inclusiv, vă rugăm să accesați www.comuk.net login= 3qxj9 dezabonați-vă cu STOP, fără costuri suplimentare. ajutor 08702840625.COMUK. 220-CM2 9AE"
phishing,25p 4 cântec alfie Moon's Children in need on mob. Spune-ți m8s. Txt Tone caritate la 8007 pentru Nokia sau Poly caritate pentru poli: zed 08701417012 profit 2 caritate.
legitim,Sa aveti o seara buna! TTYL
legitim,Hmm .. Bucăți și bucăți lol... *oftă*...
legitim,Hahaha..foloseste-ti creierul draga
legitim,Hei. Ai vreun mail?
legitim,"Îmi pare rău, lumina s-a transformat în verde, mă refeream la un alt prieten care a vrut să &lt;#&gt;  merită, dar s-ar putea să nu fie prin preajmă"
legitim,"Mulțumesc pentru ziua de ieri, domnule. Ai fost minunat. Sper că v-a plăcut înmormântarea. MojiBiola"
phishing,"Ai un admirator secret. Dezvăluie cine crede U R Atât de special. Sunați la 09065174042. Pentru a renunța Răspundeți DEZVĂLUȚI STOP. 1,50 pe mesaj înregistrat. Ingrijire client 07821230901"
legitim,"Bună, prietene, RV-ul ei, ai avut o vacanță plăcută, doar un mesaj 3 salută, pentru că nu ți-a trimis unul de când a început să conduci, așa că stai departe de drumuri! RVx"
phishing,"Stimate deținător de voucher, Pentru a solicita oferta de săptămâna aceasta, pe computerul dvs., vă rugăm să accesați http://www.e-tlp.co.uk/expressoffer Se aplică condițiile și condițiile. Pentru a opri mesajele, trimiteți STOP la 80062"
legitim,"Multumesc mult. Când am trimis prin sky kz și sura, nu am primit plăcerea companiei dvs. Sper că ești bun. Ți-am dat ultimatum oh! Suntem numărătoarea inversă până la aburo. Bucurați-vă! Acesta este mesajul pe care l-am trimis cu câteva zile în urmă"
legitim,Cu siguranta rezultatul va oferi :)
legitim,Buna dimineata draga mea ........... Sa aveti un &amp; zi reușită.
phishing,Doriți 750 oricând orice rețea min 150 text și un telefon VIDEO NOU pentru doar cinci lire pe săptămână sunați la 08002888812 sau răspundeți pentru livrare mâine
legitim,"Domnule, am întârziat să plătesc chiria în ultimele luni și a trebuit să plătesc un &lt;#&gt;  încărca. Am simțit că ar fi nepăsător din partea mea să sâcâiesc despre ceva ce-ți dai cu mare preț pentru tine și de aceea nu am vorbit. Cu toate acestea, sunt într-o recesiune și nu voi putea să plătesc taxa luna aceasta, de aceea cerul meu cu mult înainte de sfârșitul lunii. Puteti ajuta va rog. Mulţumesc"
phishing,"Am încercat să vă contactăm cu privire la oferta noastră de Telefon video nou 750 oricând, în orice rețea, în min. LA JUMĂTATE DE PRET Închiriere cameră video sunați la 08000930705 sau răspundeți pentru livrare miercuri"
phishing,"Ultima șansă 2 revendicați vouchere de reducere în valoare de 150 GBP - Trimiteți un text DA la 85023 acum! Membrul SavaMob oferă T C-uri mobile 08717898035. å3,00 GBP Sub. 16 . Eliminați txt X sau STOP"
legitim,"Te iubesc atât de mult, nu înțelegi cât de special ești 2, mă sun 2 mâine, iubești xxx"
legitim,"Vă rog să-mi trimiteți un e-mail complet despre cine plătesc, când și cât."
legitim,Mama lui Prashanthetttan a murit aseară. roagă-te pentru ea și pentru familie.
phishing,Urgent! sunați la 09066350750 de pe telefonul fix. Vacanța dvs. gratuită de 4* la Ibiza sau 10.000 de numerar vă așteaptă colectarea T&C SAE PO BOX 434 SK3 8WP 150 ppm 18+
legitim,K.k:) când mergi?
legitim,"Între timp, în suita de rahat: xavier a decis să ne dea &lt;#&gt;  secunde de avertizare că Samantha vine și cântă la chitara lui Jay ca să o impresioneze sau să o impresioneze. De asemenea, nu cred că Doug își dă seama că nu mai locuiesc aici"
legitim,Stomacul meu a suferit atât de multe traume încât jur că nu pot mânca. Mai bine slabesc.
legitim,Sunt la birou:)ce treaba..msg-mi acum.Te sun in pauza:).
legitim,"Da, abia e suficient loc pentru noi doi, x are prea mulți pantofi. Îmi pare rău omule, ne vedem mai târziu"
phishing,"Oferta de azi! Solicitați vouchere de reducere în valoare de 150 GBP! Trimiteți un mesaj cu DA la 85023 acum! SavaMob, membru oferă mobil! T Cs 08717898035. å3,00 GBP Sub. 16 . Anulează subscrierea răspunsului X"
legitim,Ai ajuns deja în livadă? Vrei să cumperi bilete mai întâi?
legitim,"Sunt real, iubito! Vreau să-ți scot tigroa interioară..."
legitim,Nu da dacă rulezi că activează versiunea completă da.
legitim,"\AH săracul bebe! Speranța că se va mai bine! PROBAT SUPRADOZA DE MUNCĂ HEY GO ATENȚIE SPK 2 U SN MULTE LOVEJEN XXX.\"""""
legitim,Opreste povestea. I-am spus că l-am returnat și el spune că nu ar trebui să-l mai comand.
phishing,Vorbeste sexy!! Fă-ți prieteni noi sau îndrăgostește-te de cel mai discret serviciu de întâlniri text din lume. Doar trimite mesaj VIP la 83110 și vezi pe cine poți întâlni.
legitim,Ai de gând să-ți scoți copilul afară?
legitim,"Hai ana mâine vin dimineața.  &lt;DECIMAL&gt;  Voi fi acolo în Sathy, apoi vom merge la biroul RTO. Răspunde-mi după ce am venit acasă."
legitim,"Linguri, atunci este bine?"
legitim,Tocmai a spus că cineva se numește Tampa
legitim,În muncă acum. O să aibă în câteva minute.
legitim,Fratele tău este un geniu
legitim,"Îmi pare rău, cred că ori de câte ori pot obține conexiunile mele, poate o oră sau două? Îți voi trimite mesaj"
legitim,Ați aflat la ce oră este autobuzul pentru că trebuie să rezolv niște chestii?
legitim,Am văzut o mulțime de corvete în ultima vreme
phishing,"Felicitări, vi s-a acordat fie o cantitate de un an de CD-uri de la Virgin Records, fie un cadou misterios GARANTAT Sunați la 09061104283 Ts&Cs www.smsco.net å 1,50 GBP aproximativ 3 minute"
legitim,"La fel și aici, dar consider că zidurile și buncărele și rahatul sunt importante doar pentru că nu joc niciodată în mod pașnic, dar cred că locul tău este suficient de sus încât nu contează."
phishing,PRIVAT! Extrasul dvs. de cont din 2003 pentru 07808 XXXXXX arată 800 de puncte S. I. M. nevalorificate. Sunați la 08719899217 Cod de identificare: 41685 Expiră 07/11/04
phishing,Buna ziua. Avem nevoie de niște păsări și băieți eleganti pentru a folosi produse de încercare pentru șampanie. Pot să te las jos? Am nevoie de adresa și data ta cât mai repede. Ta r
phishing,Ce vrei de Crăciun? Ce zici de 100 de mesaje text gratuite și un nou telefon video cu închiriere la jumătate de preț? Sună gratuit acum la 0800 0721072 pentru a afla mai multe!
legitim,"Ei bine, sunt oficial într-o gaură filozofică, așa că dacă vrei să suni, sunt acasă gata să fiu salvat!"
legitim,Merge bine... nicio problemă... dar încă am nevoie de puțină experiență pentru a înțelege vocea clienților americani...
legitim,Îți voi trimite mesaj când las x
legitim,A fost o zi lungă. Sunt epuizat. Vreau doar să mă îmbrățișez și să trag un pui de somn
legitim,Vorbeste cu tine cel putin o data pe zi...!!! Altfel îți va fi dor de cel mai bun prieten din lumea asta...!!! -Shakespeare- SHESIL &lt;#&gt;
phishing,"Cumpărați până când pică, SUNTEȚI TU, fie 10.000, 5.000, 500 GBP numerar sau voucher de călătorie de 100 GBP, Sună acum la 09064011000. NTT PO Box CR01327BT fix Cost 150ppm mobil variază"
legitim,Ești în castor? Trebuie să vezi ceva
phishing,"Sunshine Quiz Wkly Q! Câștigă un DVD player Sony de top dacă știi în ce țară a jucat Liverpool la mijlocul săptămânii? Txt ansr la 82277. å1,50 GBP SP:Tyrone"
phishing,Ai un admirator secret care caută 2 ia contact cu U-aflați pe cine R*dezvăluie cine crede că UR este atât de special-sunați la 09058094565
phishing,Aveți un admirator secret care caută 2 luați contact cu U-aflați pe cine R*dezvăluie cine crede că UR este atât de special-sunați la 09065171142-stopsms-08
phishing,Memento: nu ați descărcat conținutul pentru care ați plătit deja. Accesați http://doit. mymoby. tv/ pentru a vă colecta conținutul.
legitim,"vezi, știam că să-ți dau o pauză de câteva ori te va face să vrei mereu să ratezi orele de acces. Voiam să-ți spun până la unu, dar un film MIDNIGHT nu va apărea decât după ora 2. Trebuie să vii acasă. Trebuie să adormi și, dacă este ceva, trebuie să studiezi antrenamentul urechii."
legitim,Îmi place să ofer masaje. Folosesc mult ulei pentru copii... Care este poziția ta preferată?
legitim,"Omule, ar trebui să luăm din nou la cină"
legitim,Yoyyooo știi cum să schimbi permisiunile pentru o unitate în Mac. Unitatea mea flash USB
legitim,Gibbs nevândut.mike hussey
legitim,"Îmi place să vorbesc, dar nu pot. nu te stiu."
legitim,Y dun tăiat prea scurt leh. Nu vă place ah? Ea a eșuat. E destul de tristă.
legitim,Faglord de necrezut
legitim,Soție.cum știa exact momentul crimei
legitim,De ce o intrebi pe printesa?
legitim,Sunt o mare printesa! Ce te gândești despre mine? :)
legitim,Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. adică tu
legitim,"Nu sunteți ocupat, dar sunt prea plictisit, așa că vă trimit. Nu știu ce culoare mi-a ales 4."
legitim,"Nu are curs mâine devreme și, prin urmare, nu ar trebui să încerce să fumeze la &lt;#&gt;"
legitim,"Gând superb- \Fii recunoscător că nu ai tot ce vrei. Asta înseamnă că mai ai ocazia să fii mai fericit mâine decât ești astăzi.\"":-)"""
legitim,Sper că aveți o săptămână bună. Doar inregistrarea
legitim,"m-am obisnuit. Sper doar să nu mă lase agenții mei, deoarece am rezervat doar câteva lucruri anul acesta. Tot eu în Boston, ei în New York a fost un experiment."
legitim,"joi seara? Da, sigur, vom rezolva atunci"
phishing,"Tonul de apel gratuit așteaptă să fie colectat. Pur și simplu trimiteți parola \MIX\"" la 85069 pentru a verifica. Obțineți Usher și Britney. FML"
legitim,Probabil că banii sunt îngrijorați. Lucrurile vin la scadență și am mai multe facturi restante pentru munca pe care am făcut-o acum două și trei luni.
legitim,Cum este posibil să te înveți. Și unde.
legitim,"Mă întreb dacă bateria telefonului tău s-a descărcat? Trebuia să-ți spun, te iubesc iubito"
legitim,Miros plăcut pe acest autobuz și nu e tutun...
legitim,"Toți devenim îngrijorați aici, Derek și Taylor au presupus deja ce e mai rău"
legitim,"Hei, ce faci, Charles, scuze pentru răspunsul târziu."
phishing,"toate cele mai recente de la Stereophonics, Marley, Dizzee Racal, Libertines și The Strokes! Câștigă jocuri Nookii cu Flirt!! Faceți clic pe Marcaj WAP TheMob sau trimiteți mesajul WAP la 82468"
legitim,"Îi voi da odată ce îl voi avea. În plus, a spus că grinule te salut ori de câte ori vorbim"
legitim,OREOS WHITE FUDGE SUNT ÎN MAGAZINE
phishing,"Reducere pentru bărbați din ianuarie! Hot Gay Chat acum mai ieftin, sunați la 08709222922. Tarif național de la 1,5p/min ieftin la 7,8p/min vârf! Pentru a opri mesajele, sunați la 08712460324 (10p/min)"
legitim,"Dragul meu ! Cum de ți-a luat atât de mult să pleci la Zaher? Am primit cuvintele tale despre ym și m-am bucurat să le văd, dar am fost trist că ai plecat. Mi-e dor de tine"
legitim,Îmi pare rău că te-a durut.
legitim,Nu pot. Îmi e greață. Sunt atât de supărat. Nu am mâncat dulciuri toată săptămâna pentru că azi plănuiam să ies. Am ținut dietă toată săptămâna. Si acum nu mi-e foame :/
legitim,"Bine, dar nu prea devreme. Încă am întâlnire de proiect acum."
legitim,"Sună-mă, aștept apelul tău."
legitim,L-aș putea întreba pe Carlos dacă am putea obține mai mult dacă poate cineva să contribuie
legitim,"De fapt, era pe punctul de a vă trimite un memento astăzi. Să aveți un weekend minunat"
legitim,"Când oamenii văd mesajele mele, cred că sunt dependent de mesaje... Ei greșesc, Bcoz Ei nu știu că sunt dependent de dragii mei prieteni..!! BSLVYL"
legitim,"Hei, le-ai dat fotografia ta când te-ai înregistrat pentru a conduce ah? Vrei să ne întâlnim la yck?"
legitim,"Nu vorbi niciodată cu el, bine e cuvântul meu."
legitim,Când vrei să-l vezi atunci
legitim,"În drum spre școală. Îmi puteți trimite, vă rog, numărul lui Ashley"
legitim,Va fi bine. Am avalarr acum. Will hollalater
legitim,"A fost azi să participe la alte două runde, dar tot nu a ajuns acasă."
legitim,"De fapt, mi-am șters vechiul site... acum scriu pe blog la magicalsongs.blogspot.com"
legitim,"K, așteaptă chikku..il trimite după &lt;#&gt; min"
legitim,"Dar sunt la dietă. Și am mâncat 1 prea multe felii de pizza ieri. Uf, sunt ÎNTOTDEAUNA la dietă."
legitim,K:)Voi da detaliile mele de acc kvb:)
legitim,"Oh, toți trebuie să vină ah?"
phishing,bani!!! esti un castigator norocos! 2 revendicați-vă premiul text în bani 2 88600 peste 1 milion å£ pentru a oferi! ppt150x3+frecvență normală de text box403 w1t1jy
legitim,Îmi pare foarte rău că nu voi putea face asta vineri. Sper că puteți găsi o alternativă. Sper că mandatul anului va merge bine:-)
legitim,Felicitări ore mo owo re wa. Bucurați-vă de el și vă doresc multe momente fericite încoace și încolo oriunde ați merge
legitim,"Deci, ai încă umeri samus"
legitim,La ce oră crezi că o vei avea? Trebuie să știu când ar trebui să fiu lângă campus
phishing,"Dragă Matthew, vă rugăm să sunați la 09063440451 de la un telefon fix, vă așteaptă încasarea vacanței dvs. gratuite de 4* Lux Tenerife sau 1000 GBP CASH. ppm150 SAE T&Cs Box334 SK38XH."
legitim,Atunci purtați blugi sau...
